Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Engineering	Not applicable	ELECTRICAL ENGINEERING - BS	395	192	72	3.58 - 3.86	3.48 - 3.72	49%	38%	
Engineering	Not applicable	ENGINEERING PHYSICS	28	14	8	3.57 - 3.81	3.48 - 3.75	50%	57%	
Engineering	Not applicable	ENVIRONMENTAL ENGINEERING	74	41	12	3.44 - 3.81	3.40 - 3.77	55%	29%	
Engineering	Not applicable	MECHANICAL ENGINEERING	443	73	7	3.65 - 4.00	3.89 - 4.00	16%	10%	
Engineering	Not applicable	NANOENGINEERING	20	12	4	3.44 - 3.69	masked	60%	33%	
Engineering	Not applicable	STRUCTURAL ENGINEERING	145	80	16	3.50 - 3.91	3.46 - 3.55	55%	20%	
Family & Consumer Sci/Human Sci	Not applicable	HUMAN DEVELOPMENTAL SCIENCES	88	53	13	3.36 - 3.77	3.26 - 3.70	60%	25%	
Fine & Applied Arts	Not applicable	ART HISTORY/CRITICISM	48	28	5	3.40 - 3.87	3.37 - 3.60	58%	18%	
Fine & Applied Arts	Not applicable	DANCE	17	10	3	3.45 - 3.63	masked	59%	30%	
Fine & Applied Arts	Not applicable	DRAMA	161	105	27	3.39 - 3.80	3.43 - 3.81	65%	26%	
Fine & Applied Arts	Not applicable	MUSIC	64	31	4	3.27 - 3.72	masked	48%	13%	
Fine & Applied Arts	Not applicable	STUDIO ART	153	75	14	3.43 - 3.89	3.53 - 3.90	49%	19%	
Fine & Applied Arts	Not applicable	VISUAL ARTS - MEDIA	234	134	46	3.38 - 3.82	3.38 - 3.75	57%	34%	
Foreign Languages & Lliterature	Not applicable	LINGUISTICS	97	66	14	3.34 - 3.80	3.21 - 3.43	68%	21%	
Foreign Languages & Lliterature	Not applicable	LINGUISTICS - LANGUAGES STUDIES	34	20	5	3.49 - 3.87	3.58 - 3.83	59%	25%	
Interdisciplinary Studies	Not applicable	COGNITIVE AND BEHAVIORAL NEUROSCIENCE	75	44	19	3.35 - 3.81	3.35 - 3.69	59%	43%	
Interdisciplinary Studies	Not applicable	COGNITIVE SCIENCE	367	276	94	3.31 - 3.74	3.31 - 3.70	75%	34%	
Interdisciplinary Studies	Not applicable	INTERDISCIPLINARY COMPUTER & THE ARTS	18	10	4	3.14 - 3.29	masked	56%	40%	
Interdisciplinary Studies	Not applicable	INTERNATIONAL STUDIES - ECONOMICS	213	131	22	3.38 - 3.74	3.36 - 3.77	62%	17%	
Interdisciplinary Studies	Not applicable	INTERNATIONAL STUDIES - HISTORY	13	12	3	3.44 - 3.78	masked	92%	25%	
Interdisciplinary Studies	Not applicable	INTERNATIONAL STUDIES - INTERNATIONAL BUSINESS	538	333	92	3.44 - 3.84	3.44 - 3.80	62%	28%	
Interdisciplinary Studies	Not applicable	INTERNATIONAL STUDIES - POLITICAL SCIENCE	75	47	13	3.40 - 3.83	3.37 - 3.76	63%	28%	
Interdisciplinary Studies	Not applicable	INTERNATIONAL STUDIES - SOCIOLOGY	69	46	4	3.70 - 3.96	masked	67%	9%	
Interdisciplinary Studies	Not applicable	MATHEMATICS - COMPUTER SCIENCE	225	165	52	3.52 - 3.85	3.48 - 3.80	73%	32%	
Letters	Not applicable	HISTORY	331	209	22	3.45 - 3.88	3.23 - 3.71	63%	11%	
Letters	Not applicable	LITERATURE, ENGLISH/AMERICAN	239	150	17	3.39 - 3.83	3.11 - 3.53	63%	11%	
Letters	Not applicable	LITERATURE/WRITING	138	78	19	3.37 - 3.75	3.30 - 3.60	57%	24%	
Letters	Not applicable	PHILOSOPHY	258	160	24	3.35 - 3.87	3.31 - 3.69	62%	15%	
Letters	Not applicable	RELIGIOUS STUDIES	15	12	3	3.41 - 3.94	masked	80%	25%	
Letters	Not applicable	WORLD LITERATURE & CULTURAL STUDIES	40	21	3	3.53 - 3.96	masked	53%	14%	
Mathematics	Not applicable	APPLIED MATHEMATICS	243	158	28	3.52 - 3.93	3.49 - 3.85	65%	18%	
Mathematics	Not applicable	MATHEMATICS	332	189	41	3.46 - 3.89	3.42 - 3.80	57%	22%	
Mathematics	Not applicable	MATHEMATICS - APPLIED SCIENCE	43	29	8	3.44 - 3.83	3.27 - 3.80	67%	28%	
Mathematics	Not applicable	MATHEMATICS/ECONOMICS	133	73	15	3.70 - 3.94	3.64 - 3.88	55%	21%	
Mathematics	Not applicable	PROBABILITY AND STATISTICS	191	105	19	3.61 - 3.94	3.55 - 3.84	55%	18%	
Physical Sciences	Not applicable	CHEMISTRY	227	147	39	3.28 - 3.78	3.32 - 3.64	65%	27%	
Physical Sciences	Not applicable	CHEMISTRY - BIOCHEMISTRY	301	172	59	3.40 - 3.84	3.35 - 3.68	57%	34%	
Physical Sciences	Not applicable	MOLECULAR SYNTHESIS	9	6	4	3.50 - 3.77	masked	67%	67%	
Physical Sciences	Not applicable	OCEANIC AND ATMOSPHERIC SCIENCES	18	10	4	3.20 - 3.84	masked	56%	40%	
Physical Sciences	Not applicable	PHARMACOLOGICAL CHEMISTRY	66	44	14	3.37 - 3.82	3.53 - 3.70	67%	32%	
Physical Sciences	Not applicable	PHYSICS	158	91	15	3.39 - 3.85	3.25 - 3.65	58%	16%	
Psychology	Not applicable	BUSINESS PSYCHOLOGY	103	37	8	3.32 - 3.80	3.34 - 3.78	36%	22%	
Psychology	Not applicable	PSYCHOLOGY	928	483	127	3.38 - 3.88	3.39 - 3.74	52%	26%	
Psychology	Not applicable	PSYCHOLOGY WITH A SPECIALIZATION IN CLINICAL PSYCHOLOGY	130	60	23	3.45 - 3.78	3.45 - 3.79	46%	38%	
Psychology	Not applicable	PSYCHOLOGY WITH A SPECIALIZATION IN COGNITIVE PSYCHOLOGY	57	30	8	3.30 - 3.76	3.63 - 3.88	53%	27%	
Psychology	Not applicable	PSYCHOLOGY WITH A SPECIALIZATION IN DEVELOPMENTAL PSYCHOLOGY	27	15	3	3.39 - 3.76	masked	56%	20%	
Psychology	Not applicable	PSYCHOLOGY WITH A SPECIALIZATION IN HUMAN HEALTH	42	26	9	3.33 - 3.71	3.20 - 3.66	62%	35%	
Psychology	Not applicable	PSYCHOLOGY WITH A SPECIALIZATION IN SOCIAL PSYCHOLOGY	54	30	11	3.14 - 3.71	3.52 - 3.61	56%	37%	
Public Health	Not applicable	GLOBAL HEALTH	103	65	30	3.32 - 3.62	3.31 - 3.60	63%	46%	
Public Health	Not applicable	PUBLIC HEALTH	167	94	24	3.55 - 3.84	3.59 - 3.78	56%	26%	
Social Sciences	Not applicable	ANTHROPOLOGY(CONCENTRATION IN SOCIOCULTRAL ANTHROPOLOGY)	177	115	17	3.37 - 3.85	3.36 - 3.82	65%	15%	
Social Sciences	Not applicable	ECONOMICS	1,840	994	245	3.50 - 3.90	3.51 - 3.87	54%	25%	
Social Sciences	Not applicable	POLITICAL SCIENCE	606	445	79	3.46 - 3.88	3.39 - 3.68	73%	18%	
Social Sciences	Not applicable	POLITICAL SCIENCE - AMERICAN POLITICS	55	36	9	3.40 - 3.84	3.42 - 3.58	65%	25%	
Social Sciences	Not applicable	POLITICAL SCIENCE - COMPARATIVE POLITICS	19	13	3	3.50 - 3.94	masked	68%	23%	
Social Sciences	Not applicable	POLITICAL SCIENCE - INTERNATIONAL RELATIONS	200	134	32	3.42 - 3.87	3.37 - 3.67	67%	24%	
Social Sciences	Not applicable	POLITICAL SCIENCE - PUBLIC LAW	163	107	27	3.30 - 3.76	3.30 - 3.58	66%	25%	
Social Sciences	Not applicable	POLITICAL SCIENCE - PUBLIC POLICY	80	49	6	3.40 - 3.92	3.31 - 3.73	61%	12%	
Social Sciences	Not applicable	POLITICAL SCIENCE/DATA ANALYTICS	29	24	10	3.47 - 3.67	3.47 - 3.61	83%	42%	
Social Sciences	Not applicable	SOCIOLOGY	751	457	58	3.36 - 3.85	3.28 - 3.66	61%	13%	
Social Sciences	Not applicable	SOCIOLOGY - CULTURE AND COMMUNICATIONS	54	27	3	3.29 - 3.75	masked	50%	11%	
Social Sciences	Not applicable	SOCIOLOGY - ECONOMY AND SOCIETY	44	21	6	3.33 - 3.82	3.67 - 3.81	48%	29%	
Social Sciences	Not applicable	SOCIOLOGY - LAW AND SOCIETY	194	108	21	3.37 - 3.86	3.19 - 3.51	56%	19%	
Social Sciences	Not applicable	SOCIOLOGY - SCIENCE AND MEDICINE	44	33	8	3.31 - 3.79	3.28 - 3.46	75%	24%	
Social Sciences	Not applicable	SOCIOLOGY - SOCIAL INEQUALITY	45	31	9	3.26 - 3.74	3.26 - 3.42	69%	29%	
Social Sciences	Not applicable	URBAN STUDIES & PLANNING	99	63	12	3.42 - 3.79	3.52 - 3.77	64%	19%	
