Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Education	School Of Education	EDUCATION, SOCIETY, AND HUMAN DEVELOPMENT	81	57	17	2.79 - 3.50	2.63 - 3.02	70%	30%	
Engineering	College Of Engineering	BIOENGINEERING	103	70	17	3.13 - 3.65	3.02 - 3.47	68%	24%	
Engineering	College Of Engineering	CHEMICAL ENGINEERING	161	109	24	3.09 - 3.57	2.94 - 3.36	68%	22%	
Engineering	College Of Engineering	COMPUTER ENGINEERING	167	52	14	3.07 - 3.60	3.12 - 3.46	31%	27%	
Engineering	College Of Engineering	ELECTRICAL ENGINEERING	232	98	20	3.07 - 3.67	2.94 - 3.38	42%	20%	
Engineering	College Of Engineering	ENVIRONMENTAL ENGINEERING	59	34	11	2.96 - 3.43	3.09 - 3.50	58%	32%	
Engineering	College Of Engineering	MATERIALS SCIENCE & ENGINEERING	38	21	5	2.82 - 3.84	2.60 - 2.77	55%	24%	
Engineering	College Of Engineering	MECHANICAL ENGINEERING	457	174	36	3.01 - 3.62	2.88 - 3.39	38%	21%	
Fine & Applied Arts	College Of Humanities & social sci	ART	110	31	6	3.06 - 3.67	3.39 - 3.75	28%	19%	
Fine & Applied Arts	College Of Humanities & social sci	ART HISTORY	48	40	4	3.03 - 3.63	masked	83%	10%	
Fine & Applied Arts	College Of Humanities & social sci	ART HISTORY/ADMINISTRATION STUDIES	47	32	6	2.97 - 3.56	3.31 - 3.72	68%	19%	
Fine & Applied Arts	College Of Humanities & social sci	DANCE	28	21	8	2.81 - 3.60	2.78 - 3.46	75%	38%	
Fine & Applied Arts	College Of Humanities & social sci	MEDIA AND CULTURAL STUDIES	128	113	22	3.02 - 3.63	2.82 - 3.15	88%	19%	
Fine & Applied Arts	College Of Humanities & social sci	MUSIC	41	33	6	2.92 - 3.50	2.66 - 3.21	80%	18%	
Fine & Applied Arts	College Of Humanities & social sci	THEATRE, FILM AND DIGITAL PRODUCTION	271	221	36	2.97 - 3.57	2.68 - 3.41	82%	16%	
Foreign Languages & Lliterature	College Of Humanities & social sci	COMPARATIVE LITERATURE	11	10	3	2.96 - 3.27	masked	91%	30%	
Foreign Languages & Lliterature	College Of Humanities & social sci	JAPANESE LANGUAGE & LITERATURE	33	27	7	3.01 - 3.41	2.82 - 3.19	82%	26%	
Foreign Languages & Lliterature	College Of Humanities & social sci	LANGUAGE	18	16	6	2.69 - 3.39	2.56 - 3.40	89%	38%	
Foreign Languages & Lliterature	College Of Humanities & social sci	LINGUISTICS	76	63	9	2.88 - 3.66	2.64 - 3.03	83%	14%	
Foreign Languages & Lliterature	College Of Humanities & social sci	SPANISH	65	55	20	2.80 - 3.33	2.66 - 3.25	85%	36%	
Interdisciplinary Studies	College Of Humanities & social sci	GLOBAL STUDIES	88	77	17	2.87 - 3.53	2.64 - 3.21	88%	22%	
Letters	College Of Humanities & social sci	CREATIVE WRITING	76	58	24	2.86 - 3.45	2.75 - 3.34	76%	41%	
Letters	College Of Humanities & social sci	ENGLISH	320	267	68	2.91 - 3.58	2.81 - 3.42	83%	25%	
Letters	College Of Humanities & social sci	HISTORY	212	173	46	2.78 - 3.50	2.70 - 3.30	82%	27%	
Letters	College Of Humanities & social sci	HISTORY/ADMINISTRATION STUDIES	20	15	4	2.47 - 3.56	masked	75%	27%	
Letters	College Of Humanities & social sci	LIBERAL STUDIES	112	76	36	2.83 - 3.45	2.79 - 3.32	68%	47%	
Letters	College Of Humanities & social sci	PHILOSOPHY	120	105	21	2.92 - 3.55	2.68 - 3.42	88%	20%	
Mathematics	College Of Natural & agricultural sci	MATHEMATICS	255	186	34	3.06 - 3.67	2.88 - 3.40	73%	18%	
Mathematics	College Of Natural & agricultural sci	MATHEMATICS FOR SECONDARY SCHOOL	17	14	7	3.06 - 3.53	3.06 - 3.48	82%	50%	
Mathematics	College Of Natural & agricultural sci	STATISTICS	72	52	3	3.11 - 3.90	masked	72%	6%	
Physical Sciences	College Of Natural & agricultural sci	CHEMISTRY	196	135	26	3.00 - 3.60	3.01 - 3.36	69%	19%	
Physical Sciences	College Of Natural & agricultural sci	PHYSICS	107	76	19	2.85 - 3.59	2.64 - 3.34	71%	25%	
Psychology	College Of Humanities & social sci	PSYCHOLOGY	1,269	747	184	2.95 - 3.57	2.76 - 3.38	59%	25%	
Public Admin & Social Serv Prof	College Of Humanities & social sci	PUBLIC SERVICE - POLITICAL SCIENCE	69	54	7	2.82 - 3.57	2.62 - 2.82	78%	13%	
Public Admin & Social Serv Prof	School Of Public policy	PUBLIC POLICY	75	59	17	2.76 - 3.46	2.79 - 3.38	79%	29%	
Social Sciences	College Of Humanities & social sci	ANTHROPOLOGY	200	165	37	2.85 - 3.63	2.60 - 3.44	83%	22%	
Social Sciences	College Of Humanities & social sci	ECONOMICS	493	400	56	2.97 - 3.59	2.72 - 3.09	81%	14%	
Social Sciences	College Of Humanities & social sci	ECONOMICS/ADMINISTRATIVE STUDIES	166	109	18	2.92 - 3.50	2.78 - 3.27	66%	17%	
Social Sciences	College Of Humanities & social sci	POLITICAL SCIENCE	327	281	50	2.94 - 3.60	2.76 - 3.42	86%	18%	
Social Sciences	College Of Humanities & social sci	POLITICAL SCIENCE / INTERNATIONAL STUDIES	111	80	16	2.81 - 3.46	2.72 - 3.07	72%	20%	
Social Sciences	College Of Humanities & social sci	POLITICAL SCIENCE/ADMINISTRATION STUDIES	41	33	7	3.00 - 3.57	2.73 - 3.46	80%	21%	
Social Sciences	College Of Humanities & social sci	SOCIOLOGY	762	653	161	2.81 - 3.48	2.65 - 3.24	86%	25%	
Social Sciences	College Of Humanities & social sci	SOCIOLOGY/ADMINISTRATION STUDIES	83	66	14	2.78 - 3.47	2.69 - 3.19	80%	21%	
