Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Engineering	College Of Engineering	ENGINEERING PHYSICS	26	4	3	masked	masked	15%	75%	
Engineering	College Of Engineering	INDUSTRIAL ENGINEERING & OPERATIONS RESEARCH ENGINEERING	43	8	6	3.79 - 3.90	3.76 - 3.89	19%	75%	
Engineering	College Of Engineering	MECHANICAL ENGINEERING	522	79	68	3.82 - 4.00	3.83 - 4.00	15%	86%	
Engineering	College Of Engineering	NUCLEAR ENGINEERING	18	4	3	masked	masked	22%	75%	
Engineering	College Of Letters & science	OPERATIONS RESEARCH & MANAGEMENT SCIENCE	33	6	5	3.67 - 3.96	3.65 - 3.83	18%	83%	
Fine & Applied Arts	College Of Letters & science	ART	204	75	37	3.52 - 3.92	3.48 - 3.86	37%	49%	
Fine & Applied Arts	College Of Letters & science	DANCE & PERFORMANCE STUDIES	26	9	3	3.19 - 3.82	masked	35%	33%	
Fine & Applied Arts	College Of Letters & science	FILM	306	91	37	3.60 - 3.92	3.70 - 3.88	30%	41%	
Fine & Applied Arts	College Of Letters & science	HISTORY OF ART	95	40	20	3.49 - 3.91	3.26 - 3.85	42%	50%	
Fine & Applied Arts	College Of Letters & science	MUSIC	60	14	8	3.55 - 3.84	3.41 - 3.78	23%	57%	
Fine & Applied Arts	College Of Letters & science	THEATER AND PERFORMANCE STUDIES	119	44	18	3.55 - 3.95	3.51 - 3.91	37%	41%	
Foreign Languages & Lliterature	College Of Letters & science	CHINESE LANGUAGE & LITERATURE	105	19	8	3.74 - 3.97	3.62 - 3.81	18%	42%	
Foreign Languages & Lliterature	College Of Letters & science	COMPARATIVE LITERATURE	54	23	16	3.49 - 3.87	3.46 - 3.90	43%	70%	
Foreign Languages & Lliterature	College Of Letters & science	EAST ASIAN RELIGION, THOUGHT, AND CULTURE	70	22	13	3.58 - 3.90	3.73 - 3.90	31%	59%	
Foreign Languages & Lliterature	College Of Letters & science	FRENCH	25	9	4	3.10 - 3.58	masked	36%	44%	
Foreign Languages & Lliterature	College Of Letters & science	JAPANESE LANGUAGE & LITERATURE	80	37	19	3.45 - 3.85	3.37 - 3.84	46%	51%	
Foreign Languages & Lliterature	College Of Letters & science	LINGUISTICS	156	24	14	3.72 - 3.92	3.74 - 3.91	15%	58%	
Foreign Languages & Lliterature	College Of Letters & science	SPANISH / PORTUGUESE	62	37	16	3.48 - 3.82	3.32 - 3.78	60%	43%	
Interdisciplinary Studies	College Of Letters & science	ANCIENT EGYPT & NEAR EASTERN ART	12	3	3	masked	masked	25%	100%	
Interdisciplinary Studies	College Of Letters & science	CLASSICAL CIVILIZATION	18	4	3	masked	masked	22%	75%	
Interdisciplinary Studies	College Of Letters & science	COGNITIVE SCIENCE	177	30	20	3.71 - 3.91	3.72 - 3.91	17%	67%	
Interdisciplinary Studies	College Of Letters & science	GLOBAL STUDIES	212	48	25	3.83 - 4.00	3.76 - 3.95	23%	52%	
Interdisciplinary Studies	College Of Letters & science	INTERDISCIPLINARY STUDIES	90	44	33	3.52 - 3.83	3.51 - 3.83	49%	75%	
Interdisciplinary Studies	College Of Natural resources	NUTRITIONAL SCIENCE	90	15	10	3.64 - 3.86	3.69 - 3.81	17%	67%	
Law	College Of Letters & science	LEGAL STUDIES	114	41	28	3.50 - 3.85	3.47 - 3.86	36%	68%	
Letters	College Of Letters & science	ENGLISH	529	220	122	3.61 - 3.93	3.56 - 3.90	42%	55%	
Letters	College Of Letters & science	HISTORY	367	109	50	3.75 - 4.00	3.73 - 4.00	30%	46%	
Letters	College Of Letters & science	PHILOSOPHY	339	167	84	3.55 - 3.90	3.47 - 3.85	49%	50%	
Letters	College Of Letters & science	RHETORIC	96	49	34	3.53 - 3.97	3.49 - 3.94	51%	69%	
Mathematics	College Of Letters & science	APPLIED MATHEMATICS	478	190	122	3.73 - 4.00	3.72 - 4.00	40%	64%	
Mathematics	College Of Letters & science	MATHEMATICS	337	87	59	3.65 - 3.92	3.63 - 3.90	26%	68%	
Mathematics	College Of Letters & science	STATISTICS	219	71	52	3.80 - 4.00	3.78 - 3.95	32%	73%	
Physical Sciences	College Of Chemistry	CHEMICAL BIOLOGY	162	21	11	3.87 - 4.00	3.59 - 4.00	13%	52%	
Physical Sciences	College Of Chemistry	CHEMISTRY	211	39	18	3.78 - 3.96	3.78 - 3.98	18%	46%	
Physical Sciences	College Of Engineering	MATERIALS SCIENCE & ENGINEERING	44	9	7	3.87 - 4.00	3.88 - 4.00	20%	78%	
Physical Sciences	College Of Letters & science	ASTROPHYSICS	58	21	14	3.47 - 3.94	3.49 - 3.94	36%	67%	
Physical Sciences	College Of Letters & science	CHEMISTRY	32	19	9	3.38 - 3.87	3.25 - 3.78	59%	47%	
Physical Sciences	College Of Letters & science	GEOLOGY	19	4	4	masked	masked	21%	100%	
Physical Sciences	College Of Letters & science	PHYSICS	184	69	43	3.43 - 3.88	3.46 - 3.90	38%	62%	
Psychology	College Of Letters & science	PSYCHOLOGY	1,170	95	62	3.78 - 3.93	3.74 - 3.92	8%	65%	
Public Admin & Social Serv Prof	College Of Letters & science	SOCIAL WELFARE	89	36	24	3.47 - 3.93	3.51 - 3.95	40%	67%	
Public Health	College Of Letters & science	PUBLIC HEALTH	176	46	23	3.51 - 3.85	3.46 - 3.86	26%	50%	
Social Sciences	College Of Environmental design	URBAN STUDIES	43	4	4	masked	masked	9%	100%	
Social Sciences	College Of Letters & science	ANTHROPOLOGY	374	106	50	3.70 - 3.95	3.62 - 3.94	28%	47%	
Social Sciences	College Of Letters & science	ECONOMICS	1,247	242	182	3.81 - 4.00	3.80 - 4.00	19%	75%	
Social Sciences	College Of Letters & science	POLITICAL ECONOMY	149	40	25	3.71 - 3.93	3.75 - 3.93	27%	63%	
Social Sciences	College Of Letters & science	POLITICAL SCIENCE	1,114	326	178	3.74 - 4.00	3.70 - 3.93	29%	55%	
Social Sciences	College Of Letters & science	SOCIOLOGY	1,035	256	120	3.68 - 3.94	3.55 - 3.93	25%	47%	
