Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Engineering	College Of Engineering	COMPUTER SCIENCE & ENGINEERING	590	40	21	3.50 - 3.85	3.48 - 3.77	7%	53%	
Engineering	College Of Engineering	ENGINEERING	328	116	32	3.56 - 3.88	3.47 - 3.70	35%	28%	
Engineering	College Of Engineering	ENVIRONMENTAL ENGINEERING	44	14	6	3.56 - 3.89	3.43 - 3.77	32%	43%	
Engineering	College Of Engineering	MATERIALS SCIENCE	38	15	5	3.48 - 3.87	3.38 - 3.45	39%	33%	
Engineering	College Of Engineering	MECHANICAL ENGINEERING	489	107	50	3.49 - 3.85	3.44 - 3.79	22%	47%	
Family & Consumer Sci/Human Sci	College Of Agric & environ sciences	HUMAN DEVELOPMENT	128	94	57	3.33 - 3.76	3.20 - 3.72	73%	61%	
Fine & Applied Arts	College Of Letters & science	ART - STUDIO	132	105	23	3.36 - 3.82	3.33 - 3.64	80%	22%	
Fine & Applied Arts	College Of Letters & science	ART HISTORY	50	38	5	3.22 - 3.78	3.14 - 3.27	76%	13%	
Fine & Applied Arts	College Of Letters & science	CINEMA AND DIGITAL MEDIA	150	113	13	3.28 - 3.76	3.04 - 3.35	75%	12%	
Fine & Applied Arts	College Of Letters & science	DESIGN	157	128	53	3.27 - 3.83	3.27 - 3.78	82%	41%	
Fine & Applied Arts	College Of Letters & science	MUSIC	37	26	3	3.28 - 3.72	masked	70%	12%	
Fine & Applied Arts	College Of Letters & science	THEATRE AND DANCE	57	44	3	3.32 - 3.81	masked	77%	7%	
Foreign Languages & Lliterature	College Of Letters & science	CHINESE	50	38	5	3.39 - 3.92	3.16 - 3.41	76%	13%	
Foreign Languages & Lliterature	College Of Letters & science	COMPARATIVE LITERATURE	11	11	3	3.05 - 3.86	masked	100%	27%	
Foreign Languages & Lliterature	College Of Letters & science	JAPANESE	50	33	7	3.29 - 3.76	2.91 - 3.76	66%	21%	
Foreign Languages & Lliterature	College Of Letters & science	LINGUISTICS	102	82	17	3.26 - 3.83	3.11 - 3.48	80%	21%	
Foreign Languages & Lliterature	College Of Letters & science	SPANISH	50	35	10	3.28 - 3.73	3.18 - 3.77	70%	29%	
Interdisciplinary Studies	College Of Agric & environ sciences	CLINICAL NUTRITION	77	56	36	3.18 - 3.64	3.17 - 3.59	73%	64%	
Interdisciplinary Studies	College Of Agric & environ sciences	MARINE AND COASTAL SCIENCE	10	6	5	3.30 - 3.40	3.30 - 3.35	60%	83%	
Interdisciplinary Studies	College Of Agric & environ sciences	NUTRITIONAL SCIENCE	93	58	25	3.19 - 3.65	3.32 - 3.63	62%	43%	
Interdisciplinary Studies	College Of Letters & science	CLASSICAL CIVILIZATION	5	5	3	3.30 - 3.72	masked	100%	60%	
Interdisciplinary Studies	College Of Letters & science	COGNITIVE SCIENCE	192	133	40	3.32 - 3.76	3.27 - 3.60	69%	30%	
Interdisciplinary Studies	College Of Letters & science	SCIENCE & TECHNOLOGY STUDIES	15	4	4	masked	masked	27%	100%	
Letters	College Of Letters & science	ENGLISH	390	306	80	3.28 - 3.75	3.15 - 3.62	78%	26%	
Letters	College Of Letters & science	HISTORY	272	208	56	3.34 - 3.80	3.14 - 3.69	76%	27%	
Letters	College Of Letters & science	PHILOSOPHY	196	112	19	3.41 - 3.81	3.32 - 3.66	57%	17%	
Letters	College Of Letters & science	RELIGIOUS STUDIES	13	12	4	3.59 - 3.91	masked	92%	33%	
Mathematics	College Of Letters & science	APPLIED MATHEMATICS	150	127	27	3.43 - 3.90	3.19 - 3.66	85%	21%	
Mathematics	College Of Letters & science	MATHEMATICAL ANALYTICS AND OPERATIONS RESEARCH	56	50	10	3.34 - 3.85	3.22 - 3.49	89%	20%	
Mathematics	College Of Letters & science	MATHEMATICS	314	240	55	3.34 - 3.83	3.08 - 3.59	76%	23%	
Mathematics	College Of Letters & science	MATHEMATICS & SCIENCE COMPUTATION	50	39	10	3.37 - 3.73	3.06 - 3.64	78%	26%	
Mathematics	College Of Letters & science	STATISTICS	185	166	47	3.47 - 3.91	3.26 - 3.69	90%	28%	
Pharmacy	College Of Letters & science	PHARMACEUTICAL CHEMISTRY	100	89	41	3.26 - 3.77	3.21 - 3.77	89%	46%	
Physical Sciences	College Of Agric & environ sciences	ATMOSPHERIC SCIENCES	9	6	3	3.24 - 3.55	masked	67%	50%	
Physical Sciences	College Of Agric & environ sciences	HYDROLOGY	6	3	3	masked	masked	50%	100%	
Physical Sciences	College Of Letters & science	APPLIED PHYSICS	60	47	20	3.23 - 3.64	3.09 - 3.61	78%	43%	
Physical Sciences	College Of Letters & science	CHEMICAL PHYSICS	7	6	3	3.21 - 3.50	masked	86%	50%	
Physical Sciences	College Of Letters & science	CHEMISTRY	219	179	71	3.17 - 3.76	3.05 - 3.58	82%	40%	
Physical Sciences	College Of Letters & science	GEOLOGY	31	27	11	3.26 - 3.66	3.04 - 3.74	87%	41%	
Physical Sciences	College Of Letters & science	PHYSICS	110	85	17	3.10 - 3.75	2.95 - 3.58	77%	20%	
Psychology	College Of Letters & science	PSYCHOLOGY	1,445	609	240	3.46 - 3.86	3.41 - 3.73	42%	39%	
Social Sciences	College Of Letters & science	ANTHROPOLOGY	254	202	46	3.23 - 3.78	3.11 - 3.70	80%	23%	
Social Sciences	College Of Letters & science	ECONOMICS	1,837	1,308	285	3.42 - 3.83	3.28 - 3.63	71%	22%	
Social Sciences	College Of Letters & science	INTERNATIONAL RELATIONS	187	127	32	3.38 - 3.76	3.24 - 3.55	68%	25%	
Social Sciences	College Of Letters & science	POLITICAL SCIENCE	641	464	106	3.38 - 3.84	3.27 - 3.60	72%	23%	
Social Sciences	College Of Letters & science	POLITICAL SCIENCE - PUBLIC SERVICE	183	123	29	3.40 - 3.83	3.27 - 3.59	67%	24%	
Social Sciences	College Of Letters & science	SOCIOLOGY	624	394	105	3.37 - 3.82	3.19 - 3.68	63%	27%	
Social Sciences	College Of Letters & science	SOCIOLOGY/ORGANIZATIONAL STUDIES	149	88	19	3.36 - 3.77	3.31 - 3.65	59%	22%	
