Broad Discipline 	College/School 	Major	Applicants	Admits	Enrolls	Admit GPA Range	Enroll GPA Range	Admit Rate	Yield Rate	
Business & Management	College Of Letters & science	PRE-BUSINESS ECONOMICS	2,063	194	100	3.90 - 4.00	3.84 - 4.00	9%	52%	
Communication, Journalism & Rel	College Of Letters & science	COMMUNICATION	1,048	117	91	3.91 - 4.00	3.91 - 4.00	11%	78%	
Computer & Information Sciences	School Of Engineering & applied sci	COMPUTER SCIENCE	1,632	89	54	3.87 - 4.00	3.85 - 3.96	5%	61%	
Engineering	School Of Engineering & applied sci	AEROSPACE ENGINEERING	176	26	17	3.79 - 4.00	3.79 - 3.95	15%	65%	
Engineering	School Of Engineering & applied sci	BIOENGINEERING	150	20	8	3.85 - 4.00	3.85 - 3.99	13%	40%	
Engineering	School Of Engineering & applied sci	CHEMICAL ENGINEERING	205	55	24	3.83 - 3.94	3.84 - 3.94	27%	44%	
Engineering	School Of Engineering & applied sci	CIVIL ENGINEERING	199	45	17	3.82 - 4.00	3.82 - 3.94	23%	38%	
Engineering	School Of Engineering & applied sci	COMPUTER ENGINEERING	124	12	7	3.87 - 3.97	3.91 - 3.95	10%	58%	
Engineering	School Of Engineering & applied sci	COMPUTER SCIENCE & ENGINEERING	291	43	18	3.94 - 4.00	3.86 - 4.00	15%	42%	
Engineering	School Of Engineering & applied sci	ELECTRICAL ENGINEERING	399	92	51	3.81 - 3.96	3.80 - 3.96	23%	55%	
Engineering	School Of Engineering & applied sci	MATERIALS ENGINEERING	65	12	6	3.83 - 4.00	3.88 - 4.00	18%	50%	
Engineering	School Of Engineering & applied sci	MECHANICAL ENGINEERING	517	76	26	3.85 - 4.00	3.84 - 3.96	15%	34%	
Fine & Applied Arts	College Of Letters & science	ART HISTORY	132	61	41	3.53 - 3.87	3.51 - 3.90	46%	67%	
Fine & Applied Arts	School Of Music	MUSICOLOGY	12	3	3	masked	masked	25%	100%	
Fine & Applied Arts	School Of The arts & architecture	ART	259	17	13	3.02 - 3.80	3.02 - 3.74	7%	76%	
Fine & Applied Arts	School Of The arts & architecture	DANCE	43	5	4	3.15 - 3.66	masked	12%	80%	
Fine & Applied Arts	School Of The arts & architecture	DESIGN MEDIA ARTS	267	17	15	3.72 - 4.00	3.70 - 3.97	6%	88%	
Fine & Applied Arts	School Of The arts & architecture	ETHNOMUSICOLOGY	15	5	4	3.40 - 3.51	masked	33%	80%	
Fine & Applied Arts	School Of The arts & architecture	MUSIC	95	7	5	3.49 - 3.89	3.69 - 4.00	7%	71%	
Fine & Applied Arts	School Of The arts & architecture	WORLD ARTS & CULTURE	40	12	6	3.37 - 3.77	3.27 - 3.69	30%	50%	
Fine & Applied Arts	School Of Theater, film and television	FILM & TELEVISION	673	14	13	3.64 - 4.00	3.65 - 4.00	2%	93%	
Fine & Applied Arts	School Of Theater, film and television	THEATER	304	12	10	3.55 - 3.94	3.63 - 3.98	4%	83%	
Foreign Languages & Lliterature	College Of Letters & science	APPLIED LINGUISTICS	15	6	6	3.33 - 3.91	3.33 - 3.91	40%	100%	
Foreign Languages & Lliterature	College Of Letters & science	ASIAN LANGUAGES AND LINGUISTICS	31	7	6	3.76 - 4.00	3.75 - 4.00	23%	86%	
Foreign Languages & Lliterature	College Of Letters & science	CHINESE	66	8	6	3.56 - 3.86	3.62 - 3.88	12%	75%	
Foreign Languages & Lliterature	College Of Letters & science	COMPARATIVE LITERATURE	68	29	13	3.45 - 3.79	3.42 - 3.78	43%	45%	
Foreign Languages & Lliterature	College Of Letters & science	FRENCH	27	9	4	3.37 - 3.67	masked	33%	44%	
Foreign Languages & Lliterature	College Of Letters & science	JAPANESE	91	44	29	3.62 - 3.85	3.60 - 3.83	48%	66%	
Foreign Languages & Lliterature	College Of Letters & science	KOREAN	23	8	6	3.76 - 3.90	3.79 - 3.89	35%	75%	
Foreign Languages & Lliterature	College Of Letters & science	LINGUISTICS	178	60	41	3.64 - 3.90	3.56 - 3.86	34%	68%	
Foreign Languages & Lliterature	College Of Letters & science	LINGUISTICS - ENGLISH	10	6	5	3.64 - 3.90	3.74 - 3.92	60%	83%	
Foreign Languages & Lliterature	College Of Letters & science	LINGUISTICS & ASIAN LANGUAGES & CULTURES	67	14	9	3.73 - 3.91	3.72 - 3.89	21%	64%	
Foreign Languages & Lliterature	College Of Letters & science	LINGUISTICS & COMPUTER SCIENCE	71	25	13	3.73 - 3.89	3.66 - 3.88	35%	52%	
Foreign Languages & Lliterature	College Of Letters & science	LINGUISTICS & PSYCHOLOGY	54	30	27	3.53 - 3.89	3.55 - 3.90	56%	90%	
Foreign Languages & Lliterature	College Of Letters & science	LINGUISTICS & SPANISH	10	5	3	3.68 - 4.00	masked	50%	60%	
Foreign Languages & Lliterature	College Of Letters & science	SPANISH	78	34	18	3.52 - 3.88	3.56 - 3.85	44%	53%	
Interdisciplinary Studies	College Of Letters & science	CLASSICAL CIVILIZATION	20	8	3	3.63 - 3.88	masked	40%	38%	
Interdisciplinary Studies	College Of Letters & science	PRE HUMAN BIOLOGY AND SOCIETY	115	24	12	3.78 - 3.93	3.78 - 3.91	21%	50%	
Interdisciplinary Studies	College Of Letters & science	PRE-COGNITIVE SCIENCE	212	57	32	3.71 - 3.91	3.73 - 3.91	27%	56%	
Interdisciplinary Studies	College Of Letters & science	PRE-GLOBAL STUDIES	171	63	34	3.78 - 3.97	3.78 - 4.00	37%	54%	
Letters	College Of Letters & science	AMERICAN LITERATURE & CULTURE	75	39	28	3.51 - 3.87	3.44 - 3.78	52%	72%	
Letters	College Of Letters & science	ENGLISH	637	237	130	3.69 - 3.95	3.68 - 3.93	37%	55%	
Letters	College Of Letters & science	PHILOSOPHY	398	184	112	3.65 - 3.91	3.61 - 3.86	46%	61%	
Letters	College Of Letters & science	PRE-HISTORY	520	266	185	3.62 - 3.93	3.60 - 3.93	51%	70%	
Letters	College Of Letters & science	STUDY OF RELIGION	16	5	5	3.66 - 4.00	3.66 - 4.00	31%	100%	
Mathematics	College Of Letters & science	PRE-APPLIED MATHEMATICS	272	93	54	3.82 - 3.97	3.82 - 3.95	34%	58%	
Mathematics	College Of Letters & science	PRE-FINANCIAL ACTUARIAL MATHEMATICS	151	49	33	3.90 - 4.00	3.85 - 4.00	32%	67%	
Mathematics	College Of Letters & science	PRE-MATHEMATICS	267	70	35	3.80 - 4.00	3.78 - 3.99	26%	50%	
Mathematics	College Of Letters & science	PRE-MATHEMATICS FOR TEACHING	58	13	3	3.82 - 4.00	masked	22%	23%	
Mathematics	College Of Letters & science	PRE-MATHEMATICS OF COMPUTATION	76	35	12	3.80 - 4.00	3.73 - 3.96	46%	34%	
Mathematics	College Of Letters & science	PRE-MATHEMATICS/APPLIED SCIENCE	29	8	6	3.73 - 4.00	3.82 - 4.00	28%	75%	
Mathematics	College Of Letters & science	PRE-MATHEMATICS/ECONOMICS	172	64	40	3.86 - 4.00	3.83 - 4.00	37%	63%	
Mathematics	College Of Letters & science	PRE-STATISTICS	243	95	49	3.87 - 4.00	3.84 - 4.00	39%	52%	
Nursing	School Of Nursing	NURSING - FOUR YEAR PROGRAM	165	11	10	3.59 - 3.91	3.53 - 3.87	7%	91%	
Physical Sciences	College Of Letters & science	ASTROPHYSICS	47	9	3	3.90 - 4.00	masked	19%	33%	
Physical Sciences	College Of Letters & science	CHEMISTRY	267	62	37	3.81 - 3.96	3.75 - 3.96	23%	60%	
Physical Sciences	College Of Letters & science	GEOLOGY	36	4	3	masked	masked	11%	75%	
Physical Sciences	College Of Letters & science	PHYSICS	207	54	24	3.81 - 3.97	3.72 - 3.95	26%	44%	
Psychology	College Of Letters & science	PRE-PSYCHOBIOLOGY	156	38	31	3.72 - 3.93	3.72 - 3.92	24%	82%	
Psychology	College Of Letters & science	PRE-PSYCHOLOGY	1,919	365	293	3.78 - 4.00	3.78 - 4.00	19%	80%	
Public Admin & Social Serv Prof	College Of Letters & science	PRE-PUBLIC AFFAIRS	87	22	13	3.59 - 3.86	3.58 - 3.86	25%	59%	
Social Sciences	College Of Letters & science	ANTHROPOLOGY	499	203	117	3.63 - 3.91	3.60 - 3.91	41%	58%	
Social Sciences	College Of Letters & science	GEOGRAPHY	106	56	30	3.53 - 3.91	3.55 - 3.92	53%	54%	
Social Sciences	College Of Letters & science	GEOGRAPHY/ENVIRONMENTAL STUDIES	56	18	12	3.51 - 3.78	3.58 - 3.76	32%	67%	
Social Sciences	College Of Letters & science	PRE INTERNATIONAL DEVELOPMENT STUDIES	112	32	20	3.80 - 3.95	3.78 - 3.95	29%	63%	
Social Sciences	College Of Letters & science	PRE-ECONOMICS	1,329	158	91	3.89 - 4.00	3.86 - 4.00	12%	58%	
Social Sciences	College Of Letters & science	PRE-POLITICAL SCIENCE	1,294	424	264	3.78 - 4.00	3.78 - 4.00	33%	62%	
Social Sciences	College Of Letters & science	PRE-SOCIOLOGY	1,394	501	334	3.72 - 3.94	3.72 - 3.94	36%	67%	
Social Sciences	College Of Letters & science	UNDECLARED - SOCIAL SCIENCE	9	9	9	2.70 - 3.57	2.70 - 3.57	100%	100%	
